Ship Mode,Segment,City,State,Region,Category,Sub-Category,Sales,Discount,Profit
First Class,Consumer,Fairfield,Ohio,East,Office Supplies,Appliances,121.792,0.2,13.7016
First Class,Consumer,Fairfield,Ohio,East,Furniture,Tables,409.59,0.4,-122.87700000000001
Standard Class,Corporate,Huntington Beach,California,West,Office Supplies,Paper,10.56,0.0,4.752
Standard Class,Corporate,Huntington Beach,California,West,Office Supplies,Art,3.38,0.0,1.2506
Second Class,Consumer,Port Orange,Florida,South,Office Supplies,Envelopes,7.824,0.2,2.9339999999999997
Standard Class,Consumer,Medford,Oregon,West,Office Supplies,Paper,24.784000000000002,0.2,7.745
First Class,Consumer,Charlottesville,Virginia,South,Office Supplies,Art,34.65,0.0,10.395
Standard Class,Consumer,Missoula,Montana,West,Office Supplies,Binders,487.98400000000004,0.2,152.495
First Class,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Binders,1793.98,0.0,843.1706
Second Class,Consumer,Miami,Florida,South,Office Supplies,Envelopes,29.808000000000003,0.2,10.8054
Second Class,Consumer,Miami,Florida,South,Office Supplies,Binders,505.176,0.7,-336.784
Second Class,Consumer,Miami,Florida,South,Furniture,Tables,174.0585,0.45,-110.7645
Second Class,Consumer,Florence,South Carolina,South,Office Supplies,Storage,191.88,0.0,19.188
First Class,Home Office,Detroit,Michigan,Central,Technology,Phones,14.78,0.0,3.9906
First Class,Corporate,Springfield,Oregon,West,Office Supplies,Paper,5.184,0.2,1.8144
First Class,Corporate,Springfield,Oregon,West,Furniture,Chairs,478.48,0.2,47.848
First Class,Corporate,Springfield,Oregon,West,Technology,Accessories,28.4,0.2,6.745
First Class,Corporate,Indianapolis,Indiana,Central,Office Supplies,Storage,909.12,0.0,9.0912
Standard Class,Corporate,Apopka,Florida,South,Office Supplies,Binders,2.952,0.7,-2.1648
Standard Class,Corporate,Apopka,Florida,South,Office Supplies,Binders,27.018,0.7,-21.6144
First Class,Corporate,Los Angeles,California,West,Furniture,Furnishings,136.92,0.0,41.076
Standard Class,Consumer,Oceanside,New York,East,Furniture,Furnishings,18.96,0.0,8.532
Standard Class,Corporate,Los Angeles,California,West,Technology,Accessories,99.39,0.0,40.7499
Second Class,Corporate,Houston,Texas,Central,Office Supplies,Paper,273.89599999999996,0.2,92.4399
Second Class,Corporate,Houston,Texas,Central,Technology,Machines,597.132,0.4,49.761
First Class,Consumer,Roswell,Georgia,South,Technology,Accessories,149.95,0.0,65.97800000000001
Standard Class,Home Office,Boynton Beach,Florida,South,Office Supplies,Labels,4.6080000000000005,0.2,1.6704
Standard Class,Home Office,Boynton Beach,Florida,South,Office Supplies,Art,15.527999999999999,0.2,4.8525
Standard Class,Home Office,Boynton Beach,Florida,South,Office Supplies,Labels,11.952,0.2,3.8844
Standard Class,Consumer,Franklin,Massachusetts,East,Office Supplies,Art,11.65,0.0,3.3785
Second Class,Home Office,Detroit,Michigan,Central,Technology,Phones,299.9,0.0,74.975
First Class,Corporate,Watertown,New York,East,Office Supplies,Binders,895.92,0.2,302.373
First Class,Corporate,Watertown,New York,East,Furniture,Chairs,462.564,0.1,97.6524
Standard Class,Corporate,Reading,Pennsylvania,East,Office Supplies,Storage,15.008,0.2,1.5008
Second Class,Corporate,Arlington,Texas,Central,Technology,Phones,863.64,0.2,107.955
Second Class,Corporate,Arlington,Texas,Central,Office Supplies,Art,47.61600000000001,0.2,3.5712
Second Class,Consumer,San Diego,California,West,Office Supplies,Paper,92.94,0.0,41.823
Standard Class,Corporate,San Francisco,California,West,Technology,Accessories,199.98,0.0,69.993
Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,177.48,0.2,19.9665
First Class,Consumer,Denver,Colorado,West,Office Supplies,Paper,88.76799999999999,0.2,31.0688
Second Class,Home Office,Seattle,Washington,West,Office Supplies,Paper,6.48,0.0,3.1104
Second Class,Home Office,Seattle,Washington,West,Office Supplies,Storage,46.51,0.0,1.8604
Second Class,Home Office,Seattle,Washington,West,Technology,Phones,659.9760000000001,0.2,49.4982
Second Class,Consumer,Scottsdale,Arizona,West,Technology,Phones,271.992,0.2,23.7993
Second Class,Consumer,Lafayette,Louisiana,South,Furniture,Bookcases,145.74,0.0,23.3184
Second Class,Consumer,Lafayette,Louisiana,South,Furniture,Furnishings,15.4,0.0,7.392
Standard Class,Corporate,San Francisco,California,West,Office Supplies,Paper,244.55,0.0,114.9385
Standard Class,Corporate,San Francisco,California,West,Technology,Accessories,166.16,0.0,59.8176
Second Class,Home Office,San Francisco,California,West,Furniture,Furnishings,14.73,0.0,4.8609
Standard Class,Consumer,Broomfield,Colorado,West,Office Supplies,Binders,19.968,0.7,-13.312000000000001
Standard Class,Consumer,Broomfield,Colorado,West,Office Supplies,Storage,33.488,0.2,-1.2558
Standard Class,Consumer,Broomfield,Colorado,West,Office Supplies,Binders,8.736,0.7,-6.1152
Standard Class,Consumer,Broomfield,Colorado,West,Furniture,Chairs,662.88,0.2,74.574
First Class,Corporate,Quincy,Illinois,Central,Office Supplies,Labels,47.36,0.2,17.76
First Class,Corporate,Quincy,Illinois,Central,Office Supplies,Storage,27.44,0.2,2.401
First Class,Corporate,Quincy,Illinois,Central,Office Supplies,Binders,3.24,0.8,-5.184
Standard Class,Corporate,Carrollton,Texas,Central,Technology,Accessories,95.96799999999999,0.2,26.3912
Standard Class,Corporate,Carrollton,Texas,Central,Office Supplies,Paper,10.368,0.2,3.6288
Standard Class,Corporate,New York City,New York,East,Office Supplies,Art,23.1,0.0,6.468
Standard Class,Corporate,New York City,New York,East,Furniture,Furnishings,11.54,0.0,3.4619999999999997
Standard Class,Corporate,New York City,New York,East,Furniture,Tables,254.52599999999998,0.4,-93.3262
Standard Class,Corporate,New York City,New York,East,Office Supplies,Appliances,12.98,0.0,3.7642
Standard Class,Corporate,New York City,New York,East,Office Supplies,Binders,26.432,0.2,8.9208
Standard Class,Corporate,New York City,New York,East,Technology,Phones,197.97,0.0,57.4113
Standard Class,Corporate,New York City,New York,East,Office Supplies,Labels,18.9,0.0,9.072000000000001
Standard Class,Corporate,New York City,New York,East,Furniture,Chairs,1282.41,0.1,213.735
Standard Class,Corporate,New York City,New York,East,Office Supplies,Art,4.92,0.0,2.214
Standard Class,Corporate,New York City,New York,East,Technology,Accessories,238.0,0.0,38.08
Standard Class,Corporate,New York City,New York,East,Technology,Accessories,167.97,0.0,40.3128
Standard Class,Corporate,New York City,New York,East,Office Supplies,Paper,17.12,0.0,7.704
Second Class,Consumer,Springfield,Missouri,Central,Office Supplies,Binders,16.2,0.0,7.776
Second Class,Consumer,Springfield,Missouri,Central,Office Supplies,Appliances,33.99,0.0,14.6157
Second Class,Consumer,Springfield,Missouri,Central,Technology,Accessories,296.85,0.0,53.433
Second Class,Consumer,Springfield,Missouri,Central,Technology,Accessories,112.8,0.0,6.768
Second Class,Consumer,Springfield,Missouri,Central,Office Supplies,Binders,13.71,0.0,6.5808
Second Class,Consumer,Springfield,Missouri,Central,Office Supplies,Paper,24.9,0.0,11.703
Second Class,Consumer,Springfield,Missouri,Central,Office Supplies,Storage,286.29,0.0,17.1774
Second Class,Consumer,Springfield,Missouri,Central,Office Supplies,Appliances,24.18,0.0,7.254
Standard Class,Consumer,Paterson,New Jersey,East,Technology,Phones,281.97,0.0,78.9516
Standard Class,Consumer,Paterson,New Jersey,East,Office Supplies,Supplies,69.5,0.0,20.155
Standard Class,Consumer,Paterson,New Jersey,East,Office Supplies,Paper,166.44,0.0,79.8912
Standard Class,Consumer,Tulsa,Oklahoma,Central,Technology,Accessories,291.96,0.0,102.186
Standard Class,Home Office,Chicago,Illinois,Central,Office Supplies,Art,6.4079999999999995,0.2,0.6408
Standard Class,Home Office,Chicago,Illinois,Central,Technology,Accessories,408.744,0.2,76.6395
Standard Class,Consumer,Chicago,Illinois,Central,Office Supplies,Binders,5.104,0.8,-8.6768
Standard Class,Consumer,Chicago,Illinois,Central,Office Supplies,Fasteners,2.8960000000000004,0.2,0.4706
Standard Class,Consumer,Chicago,Illinois,Central,Technology,Accessories,35.016,0.2,-2.1885
Second Class,Corporate,Montgomery,Alabama,South,Office Supplies,Storage,275.97,0.0,11.0388
Second Class,Corporate,Montgomery,Alabama,South,Technology,Phones,1394.95,0.0,362.68699999999995
Second Class,Corporate,Montgomery,Alabama,South,Furniture,Chairs,545.88,0.0,70.9644
Standard Class,Consumer,Salem,Oregon,West,Office Supplies,Art,5.247999999999999,0.2,0.5904
Same Day,Consumer,Glendale,Arizona,West,Furniture,Chairs,933.5360000000001,0.2,105.0228
Same Day,Consumer,Glendale,Arizona,West,Office Supplies,Storage,42.976000000000006,0.2,4.2976
Second Class,Corporate,Columbus,Georgia,South,Office Supplies,Binders,3.76,0.0,1.8048
Standard Class,Consumer,Oklahoma City,Oklahoma,Central,Technology,Phones,479.96,0.0,134.3888
Second Class,Corporate,Brentwood,California,West,Office Supplies,Appliances,320.88,0.0,93.0552
Second Class,Corporate,Brentwood,California,West,Furniture,Furnishings,23.88,0.0,10.5072
Second Class,Corporate,Brentwood,California,West,Office Supplies,Paper,26.76,0.0,12.3096
First Class,Consumer,Columbus,Ohio,East,Technology,Copiers,1439.976,0.4,191.9968
Standard Class,Consumer,Springfield,Missouri,Central,Office Supplies,Binders,17.22,0.0,7.9212
Standard Class,Consumer,Springfield,Missouri,Central,Furniture,Tables,1024.38,0.0,215.1198
Standard Class,Consumer,Springfield,Missouri,Central,Office Supplies,Envelopes,26.22,0.0,12.3234
Standard Class,Consumer,Springfield,Missouri,Central,Office Supplies,Paper,17.34,0.0,8.4966
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,4.956,0.7,-3.7996
Standard Class,Home Office,Springfield,Oregon,West,Office Supplies,Labels,71.04,0.2,26.64
Standard Class,Home Office,Springfield,Oregon,West,Office Supplies,Art,5.343999999999999,0.2,0.7348
Standard Class,Home Office,Springfield,Oregon,West,Office Supplies,Fasteners,11.304,0.2,-2.1195
Second Class,Consumer,Houston,Texas,Central,Office Supplies,Appliances,294.62,0.8,-766.012
Second Class,Consumer,Houston,Texas,Central,Furniture,Furnishings,8.752,0.6,-3.7196
First Class,Corporate,Chesapeake,Virginia,South,Office Supplies,Labels,15.0,0.0,7.2
First Class,Corporate,Chesapeake,Virginia,South,Technology,Phones,161.61,0.0,42.0186
First Class,Corporate,Chesapeake,Virginia,South,Technology,Phones,144.95,0.0,42.0355
Standard Class,Consumer,Pasadena,California,West,Technology,Accessories,199.95,0.0,21.9945
Standard Class,Consumer,Pasadena,California,West,Office Supplies,Art,41.86,0.0,14.2324
Second Class,Consumer,Louisville,Kentucky,South,Office Supplies,Storage,95.94,0.0,9.594
Second Class,Consumer,Louisville,Kentucky,South,Furniture,Chairs,304.45,0.0,76.1125
Standard Class,Home Office,Lubbock,Texas,Central,Office Supplies,Binders,11.364,0.8,-17.046
Standard Class,Corporate,Columbia,Missouri,Central,Office Supplies,Art,29.68,0.0,11.5752
Standard Class,Corporate,Columbia,Missouri,Central,Technology,Accessories,47.53,0.0,16.1602
First Class,Consumer,Chicago,Illinois,Central,Furniture,Bookcases,183.372,0.3,-36.6744
Standard Class,Consumer,Johnson City,Tennessee,South,Office Supplies,Art,4.224,0.2,0.4752
Standard Class,Consumer,Johnson City,Tennessee,South,Office Supplies,Appliances,333.056,0.2,29.1424
Standard Class,Consumer,Johnson City,Tennessee,South,Office Supplies,Paper,24.896,0.2,7.78
Same Day,Consumer,Houston,Texas,Central,Technology,Accessories,159.984,0.2,35.9964
Same Day,Consumer,Houston,Texas,Central,Office Supplies,Storage,46.343999999999994,0.2,4.6344
Standard Class,Consumer,Auburn,Alabama,South,Furniture,Chairs,350.98,0.0,84.2352
Standard Class,Consumer,Auburn,Alabama,South,Office Supplies,Paper,13.08,0.0,6.0168
Standard Class,Consumer,Auburn,Alabama,South,Office Supplies,Storage,900.08,0.0,117.0104
Standard Class,Consumer,San Bernardino,California,West,Office Supplies,Binders,17.567999999999998,0.2,6.3684
Standard Class,Consumer,San Bernardino,California,West,Office Supplies,Labels,14.62,0.0,6.8714
Standard Class,Consumer,San Bernardino,California,West,Office Supplies,Supplies,33.36,0.0,8.6736
Standard Class,Consumer,San Bernardino,California,West,Office Supplies,Paper,40.14,0.0,19.6686
First Class,Home Office,Providence,Rhode Island,East,Office Supplies,Storage,1606.23,0.0,481.869
First Class,Home Office,Providence,Rhode Island,East,Office Supplies,Paper,17.04,0.0,7.667999999999999
First Class,Home Office,Providence,Rhode Island,East,Office Supplies,Binders,49.53,0.0,23.7744
First Class,Home Office,Providence,Rhode Island,East,Furniture,Chairs,872.32,0.0,244.2496
Second Class,Consumer,Fresno,California,West,Office Supplies,Binders,239.12,0.2,77.714
First Class,Consumer,Seattle,Washington,West,Furniture,Bookcases,141.96,0.0,39.7488
Second Class,Home Office,Lancaster,California,West,Office Supplies,Binders,33.024,0.2,11.5584
Second Class,Home Office,Lancaster,California,West,Office Supplies,Binders,67.13600000000001,0.2,23.4976
Standard Class,Corporate,Leominster,Massachusetts,East,Office Supplies,Binders,14.73,0.0,6.9231
Standard Class,Corporate,Leominster,Massachusetts,East,Office Supplies,Storage,104.9,0.0,25.176
Standard Class,Corporate,Leominster,Massachusetts,East,Office Supplies,Binders,61.04,0.0,30.52
Standard Class,Corporate,Leominster,Massachusetts,East,Office Supplies,Paper,10.95,0.0,5.1465
Standard Class,Corporate,Fort Worth,Texas,Central,Office Supplies,Paper,9.392000000000001,0.2,3.2872
Standard Class,Corporate,Fort Worth,Texas,Central,Office Supplies,Art,9.328,0.2,0.8162
Standard Class,Consumer,Rochester,Minnesota,Central,Office Supplies,Binders,8.26,0.0,3.8822
Standard Class,Consumer,Rochester,Minnesota,Central,Furniture,Chairs,269.97,0.0,51.2943
Standard Class,Home Office,Bozeman,Montana,West,Office Supplies,Paper,29.04,0.0,13.9392
Standard Class,Home Office,Bozeman,Montana,West,Office Supplies,Labels,14.62,0.0,6.8714
Standard Class,Home Office,Peoria,Arizona,West,Office Supplies,Paper,11.952,0.2,4.3326
Standard Class,Home Office,Peoria,Arizona,West,Office Supplies,Binders,4.5360000000000005,0.7,-3.3264
Standard Class,Home Office,Peoria,Arizona,West,Office Supplies,Binders,9.156,0.7,-6.104
Standard Class,Home Office,Peoria,Arizona,West,Furniture,Furnishings,75.36,0.2,20.724
Standard Class,Corporate,San Diego,California,West,Office Supplies,Binders,57.504,0.2,20.1264
Standard Class,Corporate,Lakewood,Ohio,East,Office Supplies,Art,38.864000000000004,0.2,7.7728
Standard Class,Corporate,Houston,Texas,Central,Office Supplies,Paper,15.552,0.2,5.4432
Standard Class,Corporate,Perth Amboy,New Jersey,East,Office Supplies,Appliances,162.64,0.0,45.5392
Standard Class,Corporate,Perth Amboy,New Jersey,East,Technology,Phones,597.0,0.0,280.59
Standard Class,Corporate,Perth Amboy,New Jersey,East,Office Supplies,Paper,55.48,0.0,26.6304
First Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings,289.8,0.2,36.225
First Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,2.502,0.7,-2.0016
First Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,6.48,0.7,-4.752
First Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Chairs,341.48800000000006,0.3,-73.176
First Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,11.12,0.2,0.8340000000000001
First Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings,25.344,0.2,3.4848
Standard Class,Consumer,Richmond,Indiana,Central,Furniture,Furnishings,17.31,0.0,5.193
First Class,Consumer,Detroit,Michigan,Central,Technology,Accessories,199.95,0.0,63.983999999999995
First Class,Consumer,Detroit,Michigan,Central,Furniture,Chairs,1586.69,0.0,412.5394
First Class,Consumer,Detroit,Michigan,Central,Technology,Accessories,84.99,0.0,30.5964
First Class,Consumer,Detroit,Michigan,Central,Furniture,Tables,411.8,0.0,70.006
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Fasteners,11.34,0.0,5.2164
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Storage,80.3,0.0,20.878
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Binders,15.968,0.2,5.3892
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Paper,64.74,0.0,30.4278
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Binders,19.296,0.2,6.03
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Storage,405.64,0.0,12.1692
Standard Class,Corporate,Los Angeles,California,West,Furniture,Chairs,146.352,0.2,-9.147
Standard Class,Corporate,Los Angeles,California,West,Technology,Accessories,251.91,0.0,47.8629
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Art,12.39,0.0,3.717
Standard Class,Consumer,Pomona,California,West,Technology,Accessories,199.96,0.0,69.986
Standard Class,Consumer,Pomona,California,West,Furniture,Tables,710.832,0.2,-97.7394
Second Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Binders,1.9409999999999998,0.7,-1.294
Standard Class,Consumer,Ontario,California,West,Furniture,Chairs,283.92,0.2,-46.137
Standard Class,Corporate,Seattle,Washington,West,Office Supplies,Binders,7.312,0.2,2.5592
Second Class,Home Office,Brentwood,California,West,Technology,Accessories,59.97,0.0,13.7931
Second Class,Home Office,Brentwood,California,West,Technology,Phones,761.544,0.2,66.6351
Standard Class,Consumer,San Francisco,California,West,Furniture,Furnishings,58.2,0.0,28.518
First Class,Consumer,Baltimore,Maryland,East,Office Supplies,Paper,39.9,0.0,19.95
First Class,Consumer,Baltimore,Maryland,East,Office Supplies,Appliances,90.86,0.0,26.3494
First Class,Consumer,Baltimore,Maryland,East,Office Supplies,Paper,94.85,0.0,45.528
Standard Class,Consumer,Phoenix,Arizona,West,Office Supplies,Paper,106.23200000000001,0.2,37.1812
Standard Class,Consumer,Phoenix,Arizona,West,Technology,Phones,111.984,0.2,11.1984
Standard Class,Consumer,Phoenix,Arizona,West,Furniture,Furnishings,7.712000000000001,0.2,1.7352
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,37.44,0.0,16.848
Standard Class,Home Office,Houston,Texas,Central,Office Supplies,Labels,23.68,0.2,8.88
Standard Class,Consumer,New York City,New York,East,Office Supplies,Labels,122.12,0.0,56.1752
Standard Class,Consumer,New York City,New York,East,Office Supplies,Labels,18.45,0.0,8.6715
Standard Class,Consumer,New York City,New York,East,Office Supplies,Storage,324.9,0.0,38.988
Standard Class,Consumer,New York City,New York,East,Office Supplies,Paper,146.73,0.0,68.9631
Standard Class,Consumer,New York City,New York,East,Office Supplies,Fasteners,3.96,0.0,1.4652
Standard Class,Corporate,Rancho Cucamonga,California,West,Office Supplies,Labels,5.76,0.0,2.6496
Standard Class,Consumer,Wilmington,Delaware,East,Office Supplies,Binders,26.55,0.0,13.0095
Standard Class,Consumer,Wilmington,Delaware,East,Furniture,Tables,310.443,0.3,-48.7839
Standard Class,Home Office,Moorhead,Minnesota,Central,Furniture,Chairs,479.9,0.0,81.583
Second Class,Consumer,Farmington,New Mexico,West,Office Supplies,Supplies,12.88,0.0,0.3864
Standard Class,Consumer,Wilmington,North Carolina,South,Office Supplies,Art,13.12,0.2,1.476
Standard Class,Home Office,Jackson,Mississippi,South,Office Supplies,Binders,511.84,0.0,240.5648
Standard Class,Home Office,Jackson,Mississippi,South,Office Supplies,Art,91.96,0.0,25.7488
Standard Class,Home Office,Jackson,Mississippi,South,Office Supplies,Art,8.34,0.0,2.1684
Standard Class,Consumer,Portland,Oregon,West,Office Supplies,Storage,37.68,0.2,2.355
Standard Class,Consumer,Portland,Oregon,West,Technology,Accessories,279.944,0.2,80.4839
Standard Class,Consumer,Denver,Colorado,West,Office Supplies,Storage,636.408,0.2,-15.9102
Standard Class,Consumer,Denver,Colorado,West,Office Supplies,Art,83.16799999999999,0.2,9.3564
Same Day,Home Office,Tucson,Arizona,West,Furniture,Chairs,259.13599999999997,0.2,-25.9136
Second Class,Corporate,New York City,New York,East,Office Supplies,Paper,221.92,0.0,106.5216
Second Class,Corporate,New York City,New York,East,Technology,Accessories,26.0,0.0,11.7
Standard Class,Consumer,Boynton Beach,Florida,South,Office Supplies,Paper,15.552,0.2,5.4432
Same Day,Corporate,Mesquite,Texas,Central,Office Supplies,Binders,0.8759999999999999,0.8,-1.4016
Same Day,Consumer,Redlands,California,West,Office Supplies,Paper,19.98,0.0,9.3906
Same Day,Consumer,Redlands,California,West,Office Supplies,Binders,398.352,0.2,124.485
Same Day,Consumer,Redlands,California,West,Office Supplies,Art,5.04,0.0,1.26
Same Day,Consumer,Redlands,California,West,Office Supplies,Fasteners,17.45,0.0,8.027000000000001
Same Day,Consumer,Redlands,California,West,Furniture,Chairs,323.13599999999997,0.2,20.195999999999998
Same Day,Consumer,Redlands,California,West,Office Supplies,Supplies,29.7,0.0,8.019
Same Day,Consumer,Redlands,California,West,Technology,Phones,1295.84,0.2,145.782
Same Day,Consumer,Redlands,California,West,Office Supplies,Storage,46.84,0.0,12.6468
Same Day,Consumer,Redlands,California,West,Furniture,Bookcases,425.833,0.15,20.0392
Second Class,Consumer,Rochester,New York,East,Furniture,Tables,209.67,0.4,-13.978
Standard Class,Consumer,Stockton,California,West,Office Supplies,Paper,159.88,0.0,73.5448
First Class,Corporate,Seattle,Washington,West,Office Supplies,Paper,5.28,0.0,2.376
First Class,Corporate,Seattle,Washington,West,Office Supplies,Binders,895.92,0.2,302.373
Standard Class,Consumer,Ormond Beach,Florida,South,Office Supplies,Binders,2.8080000000000003,0.7,-1.9656
First Class,Corporate,Sunnyvale,California,West,Furniture,Chairs,215.976,0.2,-2.6997
Second Class,Home Office,Lansing,Michigan,Central,Furniture,Bookcases,241.96,0.0,41.1332
Second Class,Home Office,Lansing,Michigan,Central,Office Supplies,Labels,27.72,0.0,13.3056
Standard Class,Home Office,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,104.68,0.2,35.3295
Standard Class,Home Office,Philadelphia,Pennsylvania,East,Technology,Phones,62.958,0.4,9.4437
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Technology,Accessories,86.376,0.2,1.0797
Standard Class,Home Office,Philadelphia,Pennsylvania,East,Furniture,Furnishings,64.944,0.2,6.4944
Standard Class,Home Office,Philadelphia,Pennsylvania,East,Office Supplies,Paper,20.736,0.2,7.2576
Second Class,Corporate,Dover,New Hampshire,East,Office Supplies,Appliances,33.28,0.0,9.3184
Second Class,Corporate,Dover,New Hampshire,East,Office Supplies,Art,38.52,0.0,11.9412
Second Class,Corporate,Dover,New Hampshire,East,Furniture,Furnishings,139.86,0.0,60.1398
Standard Class,Consumer,New York City,New York,East,Office Supplies,Paper,19.65,0.0,9.039
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,152.991,0.7,-122.3928
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Fasteners,10.584000000000001,0.2,-2.3814
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Technology,Phones,94.92,0.4,15.82
Standard Class,Consumer,Grand Prairie,Texas,Central,Furniture,Furnishings,14.76,0.6,-11.439
Standard Class,Consumer,Grand Prairie,Texas,Central,Office Supplies,Binders,3.656,0.8,-5.8496
Same Day,Consumer,New York City,New York,East,Office Supplies,Paper,146.82,0.0,73.41
Standard Class,Corporate,Long Beach,New York,East,Office Supplies,Binders,149.54399999999998,0.2,50.4711
Standard Class,Corporate,Long Beach,New York,East,Office Supplies,Supplies,17.14,0.0,4.4564
Standard Class,Corporate,Long Beach,New York,East,Furniture,Tables,991.7639999999999,0.4,-347.1174
Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Paper,30.48,0.2,9.906
Standard Class,Corporate,Philadelphia,Pennsylvania,East,Technology,Phones,23.988000000000003,0.4,-4.7976
Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Fasteners,16.688,0.2,5.4236
Standard Class,Corporate,York,Pennsylvania,East,Furniture,Chairs,422.05800000000005,0.3,-18.0882
Standard Class,Corporate,York,Pennsylvania,East,Office Supplies,Binders,38.088,0.7,-27.9312
Standard Class,Corporate,York,Pennsylvania,East,Office Supplies,Storage,254.352,0.2,-50.8704
Standard Class,Consumer,Concord,California,West,Furniture,Furnishings,43.31,0.0,4.331
Standard Class,Consumer,New York City,New York,East,Technology,Phones,84.95,0.0,22.087
Standard Class,Consumer,College Station,Texas,Central,Furniture,Chairs,233.058,0.3,-53.2704
Second Class,Consumer,Saint Louis,Missouri,Central,Technology,Accessories,111.79,0.0,43.5981
Standard Class,Consumer,Quincy,Massachusetts,East,Office Supplies,Paper,14.94,0.0,7.0218
Standard Class,Corporate,New York City,New York,East,Office Supplies,Binders,14.16,0.2,5.132999999999999
Standard Class,Home Office,Dallas,Texas,Central,Furniture,Furnishings,22.608,0.6,-10.1736
Second Class,Consumer,Los Angeles,California,West,Office Supplies,Fasteners,21.48,0.0,10.74
First Class,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Storage,501.81,0.0,0.0
First Class,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Storage,161.94,0.0,9.7164
Standard Class,Home Office,Deltona,Florida,South,Office Supplies,Art,17.855999999999998,0.2,2.0088
Standard Class,Consumer,Chicago,Illinois,Central,Office Supplies,Binders,8.808,0.8,-14.9736
Same Day,Consumer,Cincinnati,Ohio,East,Furniture,Furnishings,79.384,0.2,29.769000000000002
Standard Class,Home Office,Oakland,California,West,Office Supplies,Art,34.58,0.0,10.0282
Standard Class,Home Office,Manteca,California,West,Office Supplies,Paper,314.55,0.0,150.984
Standard Class,Consumer,Laredo,Texas,Central,Technology,Accessories,191.976,0.2,23.997
Standard Class,Consumer,Laredo,Texas,Central,Office Supplies,Paper,8.288,0.2,3.0044
Standard Class,Consumer,Laredo,Texas,Central,Furniture,Furnishings,139.92,0.6,-150.414
Standard Class,Consumer,Laredo,Texas,Central,Office Supplies,Art,15.872,0.2,1.1904
Standard Class,Consumer,Laredo,Texas,Central,Office Supplies,Binders,6.2860000000000005,0.8,-11.0005
Second Class,Consumer,Kent,Ohio,East,Office Supplies,Art,14.015999999999998,0.2,1.7519999999999998
Second Class,Consumer,Kent,Ohio,East,Technology,Accessories,71.976,0.2,-8.997
Second Class,Consumer,Kent,Ohio,East,Technology,Phones,107.98200000000001,0.4,-26.9955
Standard Class,Corporate,San Angelo,Texas,Central,Furniture,Chairs,305.312,0.3,-8.7232
First Class,Consumer,San Francisco,California,West,Office Supplies,Binders,19.752,0.2,6.9132
Standard Class,Home Office,Houston,Texas,Central,Office Supplies,Binders,9.264,0.8,-13.895999999999999
Second Class,Corporate,Houston,Texas,Central,Office Supplies,Storage,61.792,0.2,6.1792
Standard Class,Home Office,Salt Lake City,Utah,West,Office Supplies,Paper,45.68,0.0,21.0128
Standard Class,Home Office,Salt Lake City,Utah,West,Office Supplies,Paper,60.12,0.0,28.8576
Standard Class,Home Office,Salt Lake City,Utah,West,Office Supplies,Binders,41.72,0.2,13.0375
Standard Class,Home Office,Salt Lake City,Utah,West,Office Supplies,Paper,71.6,0.0,32.936
Standard Class,Consumer,New York City,New York,East,Office Supplies,Binders,85.23200000000001,0.2,30.8966
Standard Class,Consumer,New York City,New York,East,Office Supplies,Labels,44.4,0.0,22.2
Standard Class,Consumer,New York City,New York,East,Furniture,Chairs,442.764,0.1,59.0352
Standard Class,Consumer,New York City,New York,East,Technology,Machines,3999.95,0.0,1159.9855
Standard Class,Consumer,New York City,New York,East,Technology,Accessories,199.95,0.0,21.9945
Standard Class,Consumer,New York City,New York,East,Furniture,Furnishings,63.68,0.0,28.0192
Second Class,Corporate,Salinas,California,West,Office Supplies,Binders,54.896,0.2,18.5274
